Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_10_1.rcp | 6.68988E-4 | 18 | 408 | 0 | 8.13996E-4 | 18 | 408 | 1 | 0.00140429 | 18 | 408 | 1 | 7.50319E-4 | 18 | 408 | 1 | 
j30_10_2.rcp | 0.001190519 | 32 | 480 | 0 | 0.001481007 | 32 | 480 | 0 | 0.002113518 | 32 | 480 | 0 | 0.001314693 | 32 | 480 | 2 | 
j30_10_3.rcp | 5.9321E-4 | 18 | 509 | 0 | 8.20294E-4 | 18 | 509 | 0 | 0.001189718 | 18 | 509 | 0 | 7.0458E-4 | 18 | 509 | 0 | 
j30_10_4.rcp | 0.004127367 | 72 | 461 | 0 | 0.004144692 | 72 | 461 | 4 | 0.008709668 | 72 | 461 | 4 | 0.005067586 | 72 | 461 | 23 | 
j30_10_5.rcp | 0.007558166 | 72 | 308 | 0 | 0.003290765 | 72 | 308 | 1 | 0.005026921 | 72 | 308 | 1 | 0.002945204 | 72 | 308 | 3 | 
j30_10_6.rcp | 0.001343952 | 36 | 462 | 0 | 0.001717468 | 36 | 462 | 2 | 0.002615099 | 36 | 462 | 2 | 0.001597 | 36 | 462 | 2 | 
j30_10_7.rcp | 7.88809E-4 | 18 | 562 | 0 | 0.001107667 | 18 | 562 | 2 | 0.001477843 | 18 | 562 | 2 | 8.26678E-4 | 18 | 562 | 2 | 
j30_10_8.rcp | 0.002242831 | 54 | 330 | 0 | 0.00268404 | 54 | 330 | 7 | 0.004115039 | 54 | 330 | 7 | 0.002350849 | 54 | 330 | 12 | 
j30_10_9.rcp | 0.004229958 | 92 | 335 | 0 | 0.004833644 | 92 | 335 | 4 | 0.007198134 | 92 | 335 | 4 | 0.004467245 | 92 | 335 | 10 | 
j30_10_10.rcp | 8.44735E-4 | 18 | 426 | 0 | 0.001010124 | 18 | 426 | 1 | 0.001467193 | 18 | 426 | 1 | 9.10186E-4 | 18 | 426 | 1 | 
j30_11_1.rcp | 5.75586E-4 | 18 | 631 | 0 | 7.2893E-4 | 18 | 631 | 0 | 0.001081003 | 18 | 631 | 0 | 6.21935E-4 | 18 | 631 | 1 | 
j30_11_2.rcp | 7.76379E-4 | 18 | 380 | 0 | 9.61317E-4 | 18 | 380 | 0 | 0.001382088 | 18 | 380 | 0 | 8.40559E-4 | 18 | 380 | 1 | 
j30_11_3.rcp | 0.002068213 | 54 | 588 | 0 | 0.003664211 | 54 | 588 | 3 | 0.004086555 | 54 | 588 | 3 | 0.002454352 | 54 | 588 | 3 | 
j30_11_4.rcp | 0.001143194 | 36 | 613 | 0 | 0.001444153 | 36 | 613 | 2 | 0.002038573 | 36 | 613 | 2 | 0.001309689 | 36 | 613 | 3 | 
j30_11_5.rcp | 0.001588391 | 36 | 461 | 2 | 0.001945227 | 36 | 461 | 6 | 0.002831978 | 36 | 461 | 6 | 0.001769799 | 36 | 461 | 7 | 
j30_11_6.rcp | 0.001424496 | 36 | 382 | 0 | 0.001762897 | 36 | 382 | 0 | 0.002619973 | 36 | 382 | 0 | 0.001557186 | 36 | 382 | 2 | 
j30_11_7.rcp | 5.68861E-4 | 18 | 427 | 0 | 6.85828E-4 | 18 | 427 | 0 | 0.00101069 | 18 | 427 | 0 | 6.27133E-4 | 18 | 427 | 0 | 
